instrument_oid;instrument_type;category;num_underlyings;expiry_date;time_to_expiry;num_paths;num_time_steps;num_exercise_events;calibration_date;calibration_time
27576928;Option;BRC;3;28.03.2025 17:30;0.824657534;15000;1;0;31.05.2024;19.015625
27322472;Option;BRC;2;17.07.2024 17:30;0.128767123;15000;1;0;31.05.2024;5.875
27463729;TotalReturnSwap;AC;3;05.09.2024 00:00;0.265753425;15000;1;2;31.05.2024;19.734375
27112256;Option;BRC;3;07.11.2024 17:30;0.438356164;15000;1;0;31.05.2024;18.203125
26138005;Option;BRC;3;01.07.2024 17:30;0.084931507;15000;1;0;31.05.2024;21.234375
27555432;Option;BRC;4;22.09.2025 17:35;1.312328767;15000;1;0;31.05.2024;51.203125
27302304;Option;BRC;3;04.07.2024 17:30;0.093150685;15000;1;0;31.05.2024;16.40625
27353079;Option;BRC;3;22.07.2024 17:35;0.142465753;15000;1;0;31.05.2024;17.5
27681998;Option;BRC;3;30.04.2025 17:30;0.915068493;15000;1;0;31.05.2024;20.09375
27384192;Option;BRC;4;03.02.2025 22:00;0.679452055;15000;1;0;31.05.2024;57.59375
27395424;Option;BRC;2;08.08.2024 17:35;0.189041096;15000;1;0;31.05.2024;6.734375
27397231;Option;BRC;2;13.08.2024 17:30;0.202739726;15000;1;0;31.05.2024;6.953125
27562032;Option;BRC;3;20.03.2025 17:30;0.802739726;15000;1;0;31.05.2024;19.875
27359771;Option;BRC;2;24.01.2025 17:30;0.652054795;15000;1;0;31.05.2024;6.59375
27576887;TotalReturnSwap;CBRC;3;03.10.2025 00:00;1.342465753;15000;1;6;31.05.2024;66.109375
27445626;TotalReturnSwap;CBRC;3;28.08.2025 00:00;1.243835616;15000;1;5;31.05.2024;53.203125
26490193;TotalReturnSwap;AC;3;07.04.2026 00:00;1.852054795;15000;1;8;31.05.2024;73.46875
27269438;Option;BRC;3;20.12.2024 22:00;0.556164384;15000;1;0;31.05.2024;17.34375
25555034;Option;BRC;4;31.01.2025 17:30;0.671232877;15000;1;0;31.05.2024;45.109375
27621016;Option;BRC;2;17.04.2025 17:30;0.879452055;15000;1;0;31.05.2024;6.578125
26670295;TotalReturnSwap;AC;2;17.06.2024 00:00;0.046575342;15000;1;1;31.05.2024;7.09375
26998581;Option;BRC;3;01.07.2024 17:30;0.084931507;15000;1;0;31.05.2024;17.765625
27558720;Option;BRC;3;21.03.2025 21:00;0.805479452;15000;1;0;31.05.2024;18.25
27304269;Option;BRC;1;09.01.2025 17:35;0.610958904;15000;1;0;31.05.2024;1.84375
27625919;TotalReturnSwap;CBRC;5;24.10.2025 00:00;1.4;15000;1;6;31.05.2024;251.171875
27439672;Option;BRC;3;22.04.2025 17:30;0.893150685;15000;1;0;31.05.2024;19.296875
27220340;Option;BRC;1;14.06.2024 22:00;0.038356164;15000;1;0;31.05.2024;1.734375
27169035;TotalReturnSwap;AC;3;28.08.2024 00:00;0.243835616;15000;1;1;31.05.2024;18.375
26778199;Option;BRC;3;12.06.2024 17:35;0.032876712;15000;1;0;31.05.2024;17.6875
27482786;Option;BRC;5;06.03.2025 17:30;0.764383562;15000;1;0;31.05.2024;82.78125
27554948;Option;BRC;3;20.03.2025 21:00;0.802739726;15000;1;0;31.05.2024;21
27599152;Option;BRC;3;09.04.2025 17:30;0.857534247;15000;1;0;31.05.2024;20.109375
